ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
608958,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Pak Court,https://www.28hse.com/en/buy/estate-2010,For sale,6.95,9788.0,12545.0,,,,710 ,554 ,,,,300,0,20 days before,20 days before,2 days before,2018.09.15,07-07-2018
591053,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Waterloo Rd 8,https://www.28hse.com/en/buy/estate-2240,For sale,9.26,,19454.0,,High level,2,,476 ,,14.0,,576,0,47 days before,17 days before,22 hours before,2018.08.19,07-07-2018
589073,"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Fortune Crest,https://www.28hse.com/en/buy/estate-7593,For sale,5.95,14234.0,21875.0,,Low level,2,418 ,272 ,,17.0,,861,0,50 days before,34 days before,22 hours before,2018.08.15,07-07-2018
608899,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Lei On Court,https://www.28hse.com/en/buy/estate-2017,For sale,6.8,10397.0,13439.0,,,,654 ,506 ,,,,315,0,20 days before,20 days before,30 minutes before,2018.09.15,07-07-2018
597147,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Lei On Court,https://www.28hse.com/en/buy/estate-2017,For sale,8.9,8926.0,13424.0,,,,997 ,663 ,,,,455,0,37 days before,20 days before,7 hours before,2018.08.29,07-07-2018
609118,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Nga Court,https://www.28hse.com/en/buy/estate-2014,For sale,5.3,5961.0,8166.0,,,,889 ,649 ,,,,365,0,20 days before,20 days before,30 minutes before,2018.09.15,07-07-2018
608903,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Ka To Building,https://www.28hse.com/en/buy/estate-7226,For sale,3.45,,12410.0,,Low level,2,,278 ,,38.0,,860,0,20 days before,1 days before,3 days before,2018.09.15,07-07-2018
570302,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Nga Court,https://www.28hse.com/en/buy/estate-2014,For sale,5.2,5849.0,8012.0,,,,889 ,649 ,,,,1531,0,2 months before,2 days before,7 hours before,2018.07.19,07-07-2018
561450,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,The Avery,https://www.28hse.com/en/buy/estate-7931,For sale,6.45,14692.0,20411.0,,High level,1,439 ,316 ,,4.0,,1401,0,19 days before,17 days before,8 days before,2018.10.03,07-07-2018
600448,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Apartment,https://www.28hse.com/en/buy/estate-2554,For sale,6.38,13603.0,16193.0,,High level,3,469 ,394 ,,,,310,0,32 days before,17 days before,7 days before,2018.09.03,07-07-2018
555486,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Appartment,https://www.28hse.com/en/buy/estate-3115,For sale,5.58,10629.0,18295.0,,Mid level,2,525 ,305 ,,,,540,0,20 days before,20 days before,5 days before,2018.09.15,07-07-2018
563304,"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Kai Tak Garden,https://www.28hse.com/en/buy/estate-2102,For sale,7.5,9294.0,11556.0,,,3,807 ,649 ,,17.0,,180,1,19 days before,1 hours before,,2018.09.16,07-07-2018
591032,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Ko Chun Court,https://www.28hse.com/en/buy/estate-2012,For sale,6.6,9141.0,12524.0,,,,722 ,527 ,,,,605,0,47 days before,47 days before,7 hours before,2018.08.19,07-07-2018
609107,"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Shui Court,https://www.28hse.com/en/buy/estate-5669,For sale,4.5,8910.0,11057.0,,,,505 ,407 ,,19.0,,270,0,20 days before,20 days before,5 hours before,2018.09.15,07-07-2018
542631,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Harbour Place,https://www.28hse.com/en/buy/estate-3061,For sale,9.4,14921.0,19543.0,,Mid level,2,630 ,481 ,,10.0,,610,0,30 days before,20 days before,4 days before,2018.09.05,07-07-2018
603825,"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Apartment,https://www.28hse.com/en/buy/estate-2554,For sale,6.38,12760.0,16193.0,,High level,3,500 ,394 ,,,,361,0,27 days before,16 days before,49 minutes before,2018.09.07,07-07-2018
