ID,Region,Region Link,Estate,Estate Link,Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Property age(year),Address
621837,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Kam Tsuen Mansion,https://www.28hse.com/en/buy/estate-7861,,High level,3,,583.0,45.0,
611881,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Chelsea Court,https://www.28hse.com/en/buy/estate-4570,,,,1201.0,893.0,11.0,
611480,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Tin Fu Court,https://www.28hse.com/en/buy/estate-4372,,,,,650.0,16.0,
621776,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Siu Hong Court,https://www.28hse.com/en/buy/estate-4417,,,3,639.0,553.0,34.0,
622396,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Hop Yick Centre,https://www.28hse.com/en/buy/estate-5949,,Mid level,3,509.0,422.0,36.0,
326058,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Yue Shing Court,https://www.28hse.com/en/buy/estate-4116,,Mid level,2,674.0,551.0,36.0,
621693,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,King Tin Court,https://www.28hse.com/en/buy/estate-4121,,,,565.0,467.0,35.0,
599158,"Kwai Chung,Kwai Fong",https://www.28hse.com/en/buy/district-g50,The apex,https://www.28hse.com/en/buy/estate-4678,,,2,,566.0,11.0,
618867,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Shan King Estate,https://www.28hse.com/en/buy/estate-5915,,High level,,404.0,287.0,,
621713,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Hong Tak Gardens,https://www.28hse.com/en/buy/estate-4446,,Low level,2,479.0,363.0,30.0,
620026,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Sea Crest Villa,https://www.28hse.com/en/buy/estate-4541,5,Low level,3,704.0,561.0,22.0,
621739,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Belvedere Garden,https://www.28hse.com/en/buy/estate-4581,,High level,4,896.0,742.0,,
621692,"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Green Code,https://www.28hse.com/en/buy/estate-7925,,High level,2,,459.0,4.0,
621796,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,SHATIN NEW TOWN,https://www.28hse.com/en/buy/estate-4082,,High level,2,423.0,334.0,35.0,
621744,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,,,5 + ,2100.0,1890.0,,
621743,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Belvedere Garden,https://www.28hse.com/en/buy/estate-4581,,,,786.0,668.0,,
621756,,,,,,High level,,700.0,,12.0,
527492,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,ShatinPark,https://www.28hse.com/en/buy/estate-4118,,High level,1,421.0,269.0,,
588378,Tuen Mun,https://www.28hse.com/en/buy/district-g48,The Sherwood,https://www.28hse.com/en/buy/estate-4474,,Low level,2,515.0,380.0,13.0,
621703,Sham Tseng,https://www.28hse.com/en/buy/district-g56,Bellagio,https://www.28hse.com/en/buy/estate-4540,,Mid level,2,690.0,517.0,15.0,
508089,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Parkland Villas,https://www.28hse.com/en/buy/estate-4411,,Low level,2,548.0,376.0,18.0,
490014,"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Shatin Centre,https://www.28hse.com/en/buy/estate-4086,,,2,405.0,310.0,36.0,
621655,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Royal Camellia,https://www.28hse.com/en/buy/estate-7295,,,5 + ,1768.0,1248.0,22.0,
