ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
588660,For sale,72.72,,38805.0,410,0,51 days before,9 days before,6 days before,2018.08.15,07-07-2018
599778,For sale,5.6,7291.0,10448.0,465,0,33 days before,22 days before,2 days before,2018.09.02,07-07-2018
592120,For sale,5.66,,18141.0,226,0,45 days before,22 days before,6 days before,2018.08.21,07-07-2018
600257,For sale,8.6,,16929.0,410,0,32 days before,22 days before,2 days before,2018.09.02,07-07-2018
589548,For sale,16.24,,20821.0,441,0,50 days before,9 days before,6 days before,2018.08.16,07-07-2018
589116,For sale,25.42,,12002.0,881,0,50 days before,9 days before,6 days before,2018.08.16,07-07-2018
589156,For sale,123.13,,35030.0,620,0,50 days before,9 days before,6 days before,2018.08.16,07-07-2018
607660,For sale,8.0,,16598.0,185,0,22 days before,22 days before,1 days before,2018.09.13,07-07-2018
595052,For sale,4.7,8348.0,12912.0,530,0,41 days before,21 days before,2 days before,2018.08.25,07-07-2018
607596,For sale,5.98,15139.0,18287.0,235,0,22 days before,22 days before,13 days before,2018.09.13,07-07-2018
570395,For sale,6.0,8811.0,11494.0,340,0,2 months before,2 months before,5 months before,2018.07.19,07-07-2018
604739,For sale,9.38,8017.0,10218.0,250,0,26 days before,4 days before,8 hours before,2018.09.09,07-07-2018
607870,For sale,4.7,10421.0,13905.0,260,0,22 days before,,6 days before,2018.09.13,07-07-2018
607475,For sale,4.0,5714.0,,706,0,22 days before,22 days before,5 days before,2018.09.13,07-07-2018
563595,For sale,5.28,,7543.0,560,0,2 months before,6 hours before,1 days before,2018.07.09,07-07-2018
607234,For sale,15.0,8876.0,10661.0,241,0,23 days before,22 days before,7 days before,2018.09.12,07-07-2018
599171,For sale,6.8,12546.0,16307.0,270,0,34 days before,18 days before,3 hours before,2018.09.01,07-07-2018
607540,For sale,4.18,8310.0,10097.0,240,1,22 days before,,5 days before,2018.09.13,07-07-2018
607481,For sale,5.6,,16000.0,590,0,22 days before,22 days before,7 days before,2018.09.13,07-07-2018
589983,For sale,5.28,7630.0,8919.0,1021,0,49 days before,22 days before,4 days before,2018.08.17,07-07-2018
607545,For sale,4.9,7291.0,8703.0,195,0,22 days before,21 days before,3 days before,2018.09.13,07-07-2018
607656,For sale,5.78,,18063.0,270,0,22 days before,13 days before,5 days before,2018.09.13,07-07-2018
599468,For sale,4.98,8542.0,11141.0,265,0,34 days before,22 days before,6 days before,2018.09.01,07-07-2018
607368,For sale,6.88,9828.0,,235,0,22 days before,22 days before,5 hours before,2018.09.12,07-07-2018
499010,For sale,8.6,,13871.0,1436,0,22 days before,22 days before,1 days before,2018.09.13,07-07-2018
595181,For sale,18.5,,20374.0,310,0,22 days before,,16 days before,2018.09.13,07-07-2018
589300,For sale,7.8,11872.0,15984.0,445,0,50 days before,50 days before,4 days before,2018.08.16,07-07-2018
573051,For sale,3.3,,9091.0,1506,0,2 months before,2 months before,5 months before,2018.07.23,07-07-2018
506853,For sale,6.6,,9429.0,4164,1,22 days before,6 months before,16 days before,2018.09.13,07-07-2018
512230,For sale,4.68,9915.0,12381.0,2450,2,2 months before,22 days before,1 days before,2018.07.09,07-07-2018
