ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
592638,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Metro City,https://www.28hse.com/en/buy/estate-4000,For sale,6.70,12984,18457,,,,516,363,,18.0,,185,0,45 days before,45 days before,1 days before,2018.08.21,07-08-2018
592691,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Village,https://www.28hse.com/en/buy/estate-4477,For sale,4.08,5829,6277,,Mid level,3,700,650,,,,1270,1,45 days before,12 days before,7 days before,2018.08.21,07-08-2018
586271,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Chelsea Court,https://www.28hse.com/en/buy/estate-4570,For sale,14.50,12073,16237,,,,1201,893,,11.0,,275,0,55 days before,54 days before,2 days before,2018.08.11,07-08-2018
575793,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,H Cube,https://www.28hse.com/en/buy/estate-4627,For sale,5.30,14171,21721,,,,374,244,,,,255,0,2 months before,45 days before,2 days before,2018.07.27,07-08-2018
588819,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Chelsea Court,https://www.28hse.com/en/buy/estate-4570,For sale,7.80,,16561,,,,,471,,11.0,,275,0,51 days before,45 days before,2 days before,2018.08.15,07-08-2018
593012,Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,The Wings,https://www.28hse.com/en/buy/estate-6558,For sale,16.00,,19370,二期,,,,826,,,,285,0,45 days before,3 days before,6 days before,2018.08.22,07-08-2018
569680,"Tsuen Wan,Tai Wo Hau",https://www.28hse.com/en/buy/district-g49,Kam Fung Garden,https://www.28hse.com/en/buy/estate-4586,For sale,6.88,9703,13055,,,,709,527,,,,655,0,2 months before,2 months before,1 days before,2018.07.18,07-08-2018
593290,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Brilliant Garden,https://www.28hse.com/en/buy/estate-4428,For sale,44.44,10000,10000,,,,4444,4444,,29.0,,165,0,44 days before,44 days before,2 days before,2018.08.22,07-08-2018
499416,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,For sale,4.50,6428,,,Mid level,3,700,,,,,955,0,50 days before,50 days before,8 days before,2018.08.16,07-08-2018
592990,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Ho Shun Yee Building,https://www.28hse.com/en/buy/estate-4288,For sale,4.20,,15672,B座高層3室,High level,1,,268,,31.0,,195,0,45 days before,45 days before,45 days before,2018.08.22,07-08-2018
