Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
Tsing Yi,https://www.28hse.com/en/buy/district-g51,Greenfield Garden,https://www.28hse.com/en/buy/estate-4656,624716,For sale,HK$ 6.00M ,"$12,269","$16,304",,,,489 ,368 ,,28,No.1 Fung Shue Wo Road,465,0,2 days before,2 days before,2 days before,2018.08.09,07-12-2018
Ma On Shan,https://www.28hse.com/en/buy/district-g43,Double Cove,https://www.28hse.com/en/buy/estate-7508,624804,For sale,HK$ 9.88M ,"$18,095",,,Low level,3,546 ,,,5,No.8 Wu Kai Sha Road,361,0,2 days before,2 days before,1 days before,2018.08.09,07-12-2018
Tseung Kwan O,https://www.28hse.com/en/buy/district-g42,Metro City,https://www.28hse.com/en/buy/estate-4000,626519,For sale,HK$ 6.90M ,"$13,503","$18,956",G,High level,2,511 ,364 ,,18,WAN HANG ROAD,20,0,2 days before,3 hours before,,2018.08.11,07-12-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Concord Building,https://www.28hse.com/en/buy/estate-2818,616829,For sale,HK$ 6.00M ,"$13,889","$19,108",,,1,432 ,314 ,,33,NO.102 SOY STREET,2153,0,13 days before,,23 hours before,2018.07.28,07-12-2018
"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Parc Oasis,https://www.28hse.com/en/buy/estate-3090,616966,,HK$ 12.50M ,"$17,730","$22,085",BLK  3       C,Low level,3,705 ,566 ,$ 2101,23,21 GRANDEUR ROAD ,1128,0,13 days before,8 days before,5 days before,2018.07.29,07-12-2018
"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,Village,https://www.28hse.com/en/buy/estate-4165,625680,For sale,HK$ 5.90M ,"$7,564",,二樓連露台,Mid level,2,780 ,,,,--,686,0,1 days before,1 days before,2 hours before,2018.08.10,07-12-2018
"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Village,https://www.28hse.com/en/buy/estate-4029,626020,For sale,HK$ 2.68M ,"$7,657",,,Ground Floor,2,350 ,,,,西貢蠔涌路,750,0,20 hours before,,1 hours before,2018.08.10,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Manhattan Hill,https://www.28hse.com/en/buy/estate-2522,596055,For sale,HK$ 35.00M ,,"$25,735",,Low level,4,,"1,360 ",,12,NO.1 PO LUN STREET,1752,0,13 days before,13 days before,1 days before,2018.07.29,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Banyan Garden,https://www.28hse.com/en/buy/estate-2451,617860,For sale,HK$ 8.38M ,"$12,602","$17,531",7,Mid level,2,665 ,478 ,,15,NO.863 LAI CHI KOK ROAD,1358,0,12 days before,2 days before,5 hours before,2018.07.30,07-12-2018
"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,Tak Bo Garden,https://www.28hse.com/en/buy/estate-2083,337449,For sale,HK$ 4.78M ,"$13,936","$18,968",,,,343 ,252 ,,33,NO.3 NGAU TAU KOK ROAD,11165,1,11 days before,6 days before,2 days before,2018.07.31,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,616339,For sale,HK$ 4.80M ,,"$14,414",,Mid level,2,,333 ,,44,--,1567,0,14 days before,1 days before,2 days before,2018.07.28,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Century Gateway,https://www.28hse.com/en/buy/estate-7282,624048,For sale,HK$ 7.98M ,,"$15,740",,Mid level,2,,507 ,,5,No.83 Tuen Mun Heung Sze Wui Road,541,0,3 days before,1 hours before,2 days before,2018.08.08,07-12-2018
"Fan Ling,Sheung Shui",https://www.28hse.com/en/buy/district-g46,Village,https://www.28hse.com/en/buy/estate-4196,624464,For sale,HK$ 5.50M ,"$7,857",,,High level,3,700 ,,,,--,888,0,2 days before,2 days before,2 days before,2018.08.08,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Tuen Mun Town Plaza,https://www.28hse.com/en/buy/estate-4433,624511,For sale,HK$ 4.80M ,"$10,786","$14,724",,,,445 ,326 ,,31,NO.1 TUEN SHUN STREET,275,0,2 days before,2 days before,20 hours before,2018.08.08,07-12-2018
"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Kwong Fai Court,https://www.28hse.com/en/buy/estate-2168,616981,For sale,HK$ 15.00M ,,"$19,531",,,3,,768 ,,42,NO.1 FESSENDEN ROAD,977,0,13 days before,,2 days before,2018.07.29,07-12-2018
Tuen Mun,https://www.28hse.com/en/buy/district-g48,Century Gateway,https://www.28hse.com/en/buy/estate-7282,624514,For sale,HK$ 9.50M ,,"$14,638",,,,,649 ,,5,No.83 Tuen Mun Heung Sze Wui Road,220,0,2 days before,2 days before,20 hours before,2018.08.08,07-12-2018
