Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
Island West,https://www.28hse.com/en/buy/district-g1,Ying Ga Garden,https://www.28hse.com/en/buy/estate-584,592493,For sale,HK$ 8.00M ,"$15,810","$21,220",,,,506 ,377 ,,27,,1062,0,14 days before,14 days before,1 days before,2018.07.23,07-07-2018
"Tin Hau, Tai Hang",https://www.28hse.com/en/buy/district-g6,Gold Ning Mansion,https://www.28hse.com/en/buy/estate-1014,614097,For sale,HK$ 11.00M ,"$13,750","$19,400",,Mid level,2,800 ,567 ,,51,,340,0,12 days before,12 days before,8 hours before,2018.07.25,07-07-2018
Quarry Bay,https://www.28hse.com/en/buy/district-g8,Wai Lee Building,https://www.28hse.com/en/buy/estate-5405,614110,For sale,HK$ 3.38M ,"$11,267","$17,789",,,,300 ,190 ,,49,,706,0,12 days before,2 days before,18 days before,2018.07.25,07-07-2018
Causeway Bay,https://www.28hse.com/en/buy/district-g5,Malahon Apartments,https://www.28hse.com/en/buy/estate-6328,547509,For sale,HK$ 6.10M ,,"$17,183",,High level,3,,355 ,,52,,1565,0,12 days before,12 days before,4 hours before,2018.07.25,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Maylun Apartments,https://www.28hse.com/en/buy/estate-5108,591930,For sale,HK$ 6.38M ,,"$10,943",,Low level,2,,583 ,,59,,1110,0,8 days before,8 days before,6 days before,2018.07.29,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Merit Court,https://www.28hse.com/en/buy/estate-622,590489,For sale,HK$ 8.00M ,"$10,498","$17,897",,,,762 ,447 ,,26,,1442,0,12 days before,12 days before,1 days before,2018.07.25,07-07-2018
"Diamond Hill,Lok Fu",https://www.28hse.com/en/buy/district-g24,Grand View Garden,https://www.28hse.com/en/buy/estate-2055,606457,For sale,HK$ 6.80M ,"$10,759","$12,639",6座25/h,High level,,632 ,538 ,$ 約600,19,,3294,0,24 days before,24 days before,11 days before,2018.07.13,07-07-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Chi On Court,https://www.28hse.com/en/buy/estate-6047,619663,For sale,HK$ 4.40M ,,"$16,176",,Low level,1,,272 ,,28,,295,0,4 days before,3 days before,6 minutes before,2018.08.02,07-07-2018
"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Sun Shing Centre,https://www.28hse.com/en/buy/estate-5119,591897,For sale,HK$ 5.38M ,"$13,937","$18,746",,Low level,1,386 ,287 ,,31,,1766,0,3 days before,3 days before,3 days before,2018.08.02,07-07-2018
"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,Tak Bo Garden,https://www.28hse.com/en/buy/estate-2083,620032,For sale,HK$ 5.60M ,"$14,105","$19,858",B,High level,1,397 ,282 ,,34,,260,0,3 days before,3 days before,3 days before,2018.08.02,07-07-2018
"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,Tak Bo Garden,https://www.28hse.com/en/buy/estate-2083,620390,For sale,HK$ 5.50M ,"$13,853","$19,504",,,,397 ,282 ,,34,,180,0,3 days before,3 days before,3 days before,2018.08.03,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Heya Crystal,https://www.28hse.com/en/buy/estate-8616,620580,For sale,HK$ 7.38M ,,"$18,875",,Mid level,1,,391 ,,2,,75,0,3 days before,3 days before,6 minutes before,2018.08.03,07-07-2018
"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Pun Shan Chau,https://www.28hse.com/en/buy/estate-2077,475152,For sale,HK$ 4.00M ,,"$19,324",,High level,1,,207 ,$ 500,,,1385,0,4 days before,4 days before,2 days before,2018.08.02,07-07-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Alhambra Building,https://www.28hse.com/en/buy/estate-2820,620589,For sale,HK$ 6.50M ,,"$8,420",,,3,,772 ,,58,,185,0,3 days before,3 days before,2 hours before,2018.08.03,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Heya Crystal,https://www.28hse.com/en/buy/estate-8616,619929,For sale,HK$ 7.38M ,,"$18,875",,Mid level,1,,391 ,,2,,95,0,3 days before,3 days before,6 minutes before,2018.08.02,07-07-2018
"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Tropicana Gardens,https://www.28hse.com/en/buy/estate-6142,559902,For sale,HK$ 6.80M ,,"$16,229",,Low level,2,,419 ,,33,,2146,0,2 days before,5 hours before,7 days before,2018.08.03,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Liberte,https://www.28hse.com/en/buy/estate-2510,622159,For sale,HK$ 9.38M ,"$14,587","$19,104",,High level,3,643 ,491 ,,15,,40,0,24 hours before,24 hours before,1 days before,2018.08.05,07-07-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Eliza Building,https://www.28hse.com/en/buy/estate-2724,620306,For sale,HK$ 5.18M ,,"$16,928",,Mid level,2,,306 ,,44,,210,0,3 days before,5 hours before,3 days before,2018.08.03,07-07-2018
"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Bayview,https://www.28hse.com/en/buy/estate-8088,618271,For sale,HK$ 9.60M ,,"$18,898",,High level,,,508 ,,5,,305,0,6 days before,6 days before,8 days before,2018.07.31,07-07-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Florient Rise,https://www.28hse.com/en/buy/estate-5007,618406,For sale,HK$ 10.80M ,"$17,881","$24,161",2C,Mid level,,604 ,447 ,,9,,577,0,6 days before,6 days before,1 hours before,2018.07.31,07-07-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Apartment,https://www.28hse.com/en/buy/estate-2392,618269,For sale,HK$ 6.50M ,,"$21,242",,High level,1,,306 ,,10,,155,0,6 days before,3 days before,3 days before,2018.07.31,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Academic Terrace,https://www.28hse.com/en/buy/estate-559,613036,For sale,HK$ 12.50M ,"$16,191","$19,260",,,3,772 ,649 ,,27,,400,0,14 days before,14 days before,3 days before,2018.07.23,07-07-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Garden Heights,https://www.28hse.com/en/buy/estate-2718,618705,For sale,HK$ 6.50M ,"$13,402","$20,186",,High level,2,485 ,322 ,,17,,715,1,5 days before,5 days before,1 days before,2018.07.31,07-07-2018
"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Far View Mansion,https://www.28hse.com/en/buy/estate-8507,602141,For sale,HK$ 6.20M ,,"$12,863",,,,,482 ,,52,,1015,0,5 days before,5 days before,3 days before,2018.08.01,07-07-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Apartment,https://www.28hse.com/en/buy/estate-2600,618959,For sale,HK$ 5.38M ,,"$10,717",,Mid level,,,502 ,,,,450,0,5 days before,5 days before,3 days before,2018.08.01,07-07-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Sevilla Crest,https://www.28hse.com/en/buy/estate-7943,618928,For sale,HK$ 12.50M ,,"$23,020",,High level,2,,543 ,,4,,190,0,5 days before,5 days before,3 days before,2018.08.01,07-07-2018
"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,Tak Bo Garden,https://www.28hse.com/en/buy/estate-2083,619210,For sale,HK$ 6.10M ,,"$16,010",,Mid level,2,,381 ,,33,,331,0,5 days before,,8 days before,2018.08.01,07-07-2018
"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Tin Ma Court,https://www.28hse.com/en/buy/estate-2101,618433,For sale,HK$ 5.30M ,"$11,471","$15,680",,,,462 ,338 ,,32,,455,0,6 days before,3 days before,3 days before,2018.07.31,07-07-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Imperial Cullinan,https://www.28hse.com/en/buy/estate-6207,598694,For sale For rent,HK$ 73.80M ,"$39,444","$49,004",,,4,"1,871 ","1,506 ",,10,,840,0,2 days before,2 days before,1 days before,2018.08.03,07-07-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Apartment,https://www.28hse.com/en/buy/estate-2554,619281,For sale,HK$ 4.30M ,"$7,818","$10,697",,,,550 ,402 ,,,,546,0,4 days before,,1 days before,2018.08.01,07-07-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Apartment,https://www.28hse.com/en/buy/estate-2600,617187,For sale,HK$ 5.10M ,,"$16,038",,Mid level,2,,318 ,,,,395,0,8 days before,7 days before,1 days before,2018.07.29,07-07-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Wah Tao Building,https://www.28hse.com/en/buy/estate-7878,617188,For sale,HK$ 3.68M ,,"$18,776",,,open style,,196 ,,41,,1005,0,8 days before,8 days before,1 days before,2018.07.29,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Mei Foo Sun Chuen,https://www.28hse.com/en/buy/estate-2520,617038,For sale,HK$ 8.80M ,"$10,057","$13,415",,Low level,,875 ,656 ,,50,,400,0,8 days before,3 days before,3 days before,2018.07.29,07-07-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,HighPoint,https://www.28hse.com/en/buy/estate-7737,617380,For sale,HK$ 8.30M ,,"$16,633",B,Low level,2,,499 ,,3,,225,0,8 days before,7 days before,8 days before,2018.07.29,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Banyan Garden,https://www.28hse.com/en/buy/estate-2451,617362,For sale,HK$ 8.80M ,,"$19,006",2座H室,Mid level,2,,463 ,,14,,370,0,8 days before,8 days before,8 days before,2018.07.29,07-07-2018
"Kowloon Bay,Ngau Chi Wan",https://www.28hse.com/en/buy/district-g23,Kingsford Terrace,https://www.28hse.com/en/buy/estate-2066,422707,For sale,HK$ 5.10M ,"$10,303","$12,085",,High level,2,495 ,422 ,,15,,1496,0,7 days before,1 hours before,,2018.08.06,07-07-2018
"Prince Edward,Mong Kok,Yau Ma Tei",https://www.28hse.com/en/buy/district-g30,Hayon Building,https://www.28hse.com/en/buy/estate-5684,594808,,HK$ 4.28M ,"$10,313","$17,469",,,1,415 ,245 ,,28,,3030,2,7 days before,1 days before,1 days before,2018.07.29,07-07-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Fuk Wo Mansion,https://www.28hse.com/en/buy/estate-7264,617688,For sale,HK$ 4.28M ,,"$17,833",,High level,2,,240 ,,,,305,0,7 days before,5 days before,1 days before,2018.07.30,07-07-2018
"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,On Shun Building,https://www.28hse.com/en/buy/estate-7699,617620,For sale,HK$ 3.88M ,,"$12,317",,,,,315 ,,53,,1180,0,7 days before,7 days before,7 days before,2018.07.30,07-07-2018
"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Chatham Gate,https://www.28hse.com/en/buy/estate-6567,615303,For sale,HK$ 33.50M ,"$16,106","$20,641",,High level,4,"2,080 ","1,623 ",,,,400,0,11 days before,10 days before,8 days before,2018.07.26,07-07-2018
"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Apartment,https://www.28hse.com/en/buy/estate-2120,44389,For sale,HK$ 8.48M ,,"$10,872",,High level,4,,780 ,,,,26350,17,37 months before,4 hours before,5 days before,2018.08.01,07-07-2018
"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,VIVA,https://www.28hse.com/en/buy/estate-8602,617133,For sale,HK$ 6.38M ,,"$19,275",,,1,,331 ,,1,,275,0,8 days before,1 hours before,2 days before,2018.07.29,07-07-2018
"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Yue Man Centre,https://www.28hse.com/en/buy/estate-2033,615425,For sale,HK$ 7.50M ,"$10,791","$12,777",,,,695 ,587 ,,,,565,0,10 days before,9 days before,4 days before,2018.07.26,07-07-2018
