Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
Causeway Bay,https://www.28hse.com/en/buy/district-g5,Malibu Garden,https://www.28hse.com/en/buy/estate-5754,614078,For sale,HK$ 11.50M ,"$16,912","$21,947",,Mid level,,680 ,524 ,,26,,1162,0,7 hours before,7 hours before,8 hours before,2018.08.24,07-07-2018
Aberdeen,https://www.28hse.com/en/buy/district-g13,Apartment,https://www.28hse.com/en/buy/estate-5717,617485,For sale,HK$ 4.68M ,,"$13,765",,,1,,340 ,,,,1282,0,7 days before,5 days before,5 days before,2018.07.30,07-07-2018
Aberdeen,https://www.28hse.com/en/buy/district-g13,Yee On Building,https://www.28hse.com/en/buy/estate-22653,604025,For sale,HK$ 5.88M ,"$11,902","$16,022",,,1,494 ,367 ,,34,,1406,1,6 days before,6 hours before,5 days before,2018.07.30,07-07-2018
"Central, Sheung Wan",https://www.28hse.com/en/buy/district-g2,Queen's Terrace,https://www.28hse.com/en/buy/estate-552,615777,For sale,HK$ 15.00M ,"$17,123","$24,311",,High level,3,876 ,617 ,,15,,959,0,10 days before,10 days before,7 hours before,2018.07.31,07-07-2018
Mid-Level,https://www.28hse.com/en/buy/district-g3,Scenic Garden,https://www.28hse.com/en/buy/estate-7335,617739,For sale,HK$ 37.00M ,"$20,975","$25,694",23A,High level,4,"1,764 ","1,440 ",$ 3700,27,,1380,0,7 days before,6 days before,6 days before,2018.07.30,07-07-2018
,,,,617386,For sale,HK$ 5.40M ,"$13,500","$17,035",,Low level,1,400 ,317 ,,,,1102,0,4 days before,4 hours before,4 days before,2018.08.02,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Provident Centre,https://www.28hse.com/en/buy/estate-1078,615333,For sale,HK$ 17.38M ,"$18,275","$20,544",,,,951 ,846 ,,36,,673,0,10 days before,,2 days before,2018.08.02,07-07-2018
Causeway Bay,https://www.28hse.com/en/buy/district-g5,Le Village,https://www.28hse.com/en/buy/estate-6817,619819,For sale,HK$ 8.50M ,,"$22,427",A,High level,2,,379 ,$ 1891,16,,1308,0,4 days before,2 days before,1 minutes before,2018.08.02,07-07-2018
"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Apartment,https://www.28hse.com/en/buy/estate-1183,551804,For sale,HK$ 4.38M ,,"$22,813",,High level,open style,,192 ,,,,2146,0,8 days before,4 hours before,26 minutes before,2018.08.04,07-07-2018
"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Che Cheung Building,https://www.28hse.com/en/buy/estate-6194,620182,For sale,HK$ 4.80M ,"$10,959","$13,559",,,2,438 ,354 ,,40,,240,0,7 days before,1 hours before,,2018.08.06,07-07-2018
"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Aldrich Garden,https://www.28hse.com/en/buy/estate-1175,611933,For sale,HK$ 4.90M ,"$9,702","$11,369",,Low level,2,505 ,431 ,,18,,1471,0,15 days before,15 days before,15 days before,2018.07.21,07-07-2018
"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Beverly Villa,https://www.28hse.com/en/buy/estate-2152,594965,For sale,HK$ 33.98M ,,"$21,145",1B2,Low level,4,,"1,607 ",$ 4600,37,,1331,0,2 hours before,2 hours before,2 hours before,2018.08.06,07-07-2018
"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Tung Yuk Court,https://www.28hse.com/en/buy/estate-1179,611936,For sale,HK$ 7.80M ,"$9,408","$12,000",,,3,829 ,650 ,,17,,1361,0,15 days before,15 days before,15 days before,2018.07.21,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Circle Court,https://www.28hse.com/en/buy/estate-6483,608051,For sale,HK$ 6.03M ,"$14,154","$21,307",,,,426 ,283 ,,24,,1531,1,21 days before,5 days before,3 days before,2018.07.21,07-07-2018
TaiKoo,https://www.28hse.com/en/buy/district-g9,TaiKoo Shing,https://www.28hse.com/en/buy/estate-1140,609361,For sale,HK$ 17.38M ,"$17,680","$19,376",太古城,,,983 ,897 ,,31,,962,0,19 days before,19 days before,18 hours before,2018.07.22,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Viking Court,https://www.28hse.com/en/buy/estate-628,611109,For sale,HK$ 5.45M ,,"$18,990",,,open style,,287 ,,31,,2336,0,17 days before,11 days before,8 hours before,2018.07.23,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Rex Building,https://www.28hse.com/en/buy/estate-6126,374624,For sale,HK$ 4.58M ,"$12,582","$20,000",低層B室,Low level,open style,364 ,229 ,$ 835,27,,4739,1,4 days before,4 days before,5 days before,2018.08.02,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Kennedy Town Building,https://www.28hse.com/en/buy/estate-679,611147,For sale,HK$ 8.60M ,"$13,417","$18,105",,,,641 ,475 ,,27,,1524,1,16 days before,1 days before,1 days before,2018.07.24,07-07-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,617494,For sale,HK$ 11.30M ,,"$11,895",,Low level,2,,950 ,,52,,1072,0,7 days before,2 days before,17 hours before,2018.07.29,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Grace Mansion,https://www.28hse.com/en/buy/estate-5827,614001,For sale,HK$ 6.58M ,"$12,777","$19,296",4/F A,,2,515 ,341 ,,33,,1131,0,11 days before,9 days before,11 days before,2018.07.26,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,612812,For sale,HK$ 7.65M ,,"$16,594",,Mid level,2,,461 ,,,,2116,0,14 days before,6 days before,5 days before,2018.07.22,07-07-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grand Austin,https://www.28hse.com/en/buy/estate-8417,612863,For sale,HK$ 130.00M ,,"$70,652",,High level,5 + ,,"1,840 ",,3,,2152,0,14 days before,14 days before,7 days before,2018.07.22,07-07-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,612908,For sale,HK$ 12.00M ,,"$12,632",,Low level,2,,950 ,,52,,1164,0,14 days before,,17 hours before,2018.07.23,07-07-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,The Masterpiece,https://www.28hse.com/en/buy/estate-5236,613185,For sale,HK$ 115.00M ,,"$49,784",,High level,3,,"2,310 ",,,,1573,0,14 days before,13 days before,2 days before,2018.07.23,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Smithfield Terrace,https://www.28hse.com/en/buy/estate-557,606113,For sale,HK$ 6.50M ,"$17,241","$23,050",28B8,Mid level,1,377 ,282 ,,32,,1784,1,24 days before,8 days before,8 days before,2018.07.13,07-07-2018
"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Aldrich Garden,https://www.28hse.com/en/buy/estate-1175,571152,For sale,HK$ 5.90M ,"$10,405","$12,190",,,2,567 ,484 ,,,,2147,0,24 days before,5 days before,15 days before,2018.07.13,07-07-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,622839,For sale,HK$ 5.88M ,"$8,400",,,,,700 ,,,,,15,0,47 minutes before,47 minutes before,49 minutes before,2018.08.06,07-07-2018
Wan Chai,https://www.28hse.com/en/buy/district-g4,Tai Wo Mansion,https://www.28hse.com/en/buy/estate-8934,616152,For sale For rent,HK$ 6.98M ,,"$18,417",,High level,2,,379 ,,30,,1710,0,9 days before,9 days before,1 days before,2018.07.30,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,Cheung Ling Mansion,https://www.28hse.com/en/buy/estate-602,602824,For sale,HK$ 5.85M ,,"$20,313",,High level,1,,288 ,,38,,2281,0,29 days before,12 days before,7 days before,2018.07.13,07-07-2018
"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Cheung Wo Court,https://www.28hse.com/en/buy/estate-2031,604946,,HK$ 5.30M ,"$10,643","$12,802",F座,High level,2,498 ,414 ,$ 572,34,,4074,0,26 days before,13 days before,3 days before,2018.07.11,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,City Garden,https://www.28hse.com/en/buy/estate-1070,618881,For sale,HK$ 15.80M ,"$17,893","$19,949",,,,883 ,792 ,,32,,531,0,5 days before,5 days before,10 days before,2018.08.03,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Apartment,https://www.28hse.com/en/buy/estate-2506,598363,For sale,HK$ 7.80M ,,"$16,957",,,2,,460 ,,,,3052,0,25 days before,20 days before,5 days before,2018.07.11,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,New Wealth Mansion,https://www.28hse.com/en/buy/estate-5921,610694,For sale,HK$ 5.90M ,,"$16,809",,Low level,2,,351 ,,27,,1441,0,17 days before,5 days before,1 days before,2018.07.23,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Tanner Garden,https://www.28hse.com/en/buy/estate-1080,596966,For sale,HK$ 15.30M ,"$18,773","$22,700",,,,815 ,674 ,,27,,1657,0,1 days before,1 days before,6 hours before,2018.08.05,07-07-2018
"North Point, Fortress Hill",https://www.28hse.com/en/buy/district-g7,Siu Bo Mansion,https://www.28hse.com/en/buy/estate-5546,622460,For sale,HK$ 5.40M ,"$15,340","$22,314",,High level,2,352 ,242 ,,33,,50,0,6 hours before,6 hours before,6 hours before,2018.08.06,07-07-2018
Aberdeen,https://www.28hse.com/en/buy/district-g13,Marina Habitat,https://www.28hse.com/en/buy/estate-292,598962,For sale,HK$ 8.08M ,,"$19,147",,High level,2,,422 ,,,,2347,1,28 days before,1 days before,5 days before,2018.07.08,07-07-2018
Mid-Level,https://www.28hse.com/en/buy/district-g3,The Rednaxela,https://www.28hse.com/en/buy/estate-432,614087,For sale,HK$ 14.30M ,"$15,310","$20,695",,Mid level,3,934 ,691 ,,19,,716,0,12 days before,9 days before,8 hours before,2018.07.25,07-07-2018
"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Tung Keung Building,https://www.28hse.com/en/buy/estate-1206,622231,For sale,HK$ 4.35M ,,"$19,420",,,,,224 ,,39,,120,0,23 hours before,23 hours before,8 days before,2018.08.05,07-07-2018
Mid-Level,https://www.28hse.com/en/buy/district-g3,Caine Building,https://www.28hse.com/en/buy/estate-466,445448,For sale,HK$ 12.00M ,"$18,182","$27,523",High floor B,High level,2,660 ,436 ,,,,3438,0,3 months before,25 days before,3 days before,2018.07.09,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,AVA128,https://www.28hse.com/en/buy/estate-8546,537616,For sale,HK$ 5.10M ,,"$28,814",,,open style,,177 ,,1,,2953,0,28 days before,5 days before,24 hours before,2018.07.08,07-07-2018
,,,,622185,For sale,HK$ 4.79M ,,"$13,686",,High level,2,,350 ,$ 650,43,,150,0,24 hours before,,8 hours before,2018.08.05,07-07-2018
"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,One Beacon Hill,https://www.28hse.com/en/buy/estate-2150,524270,For sale,HK$ 78.00M ,"$28,772","$37,125",6座,,4,"2,711 ","2,101 ",,14,,4747,1,24 days before,24 days before,24 days before,2018.07.13,07-07-2018
Island South,https://www.28hse.com/en/buy/district-g14,South Horizons,https://www.28hse.com/en/buy/estate-350,603423,For sale,HK$ 12.30M ,,"$19,219",,High level,3,,640 ,,,,1578,0,28 days before,28 days before,17 hours before,2018.07.09,07-07-2018
Quarry Bay,https://www.28hse.com/en/buy/district-g8,WestLands Court,https://www.28hse.com/en/buy/estate-1128,617221,For sale,HK$ 7.25M ,"$13,969","$18,216",,,,519 ,398 ,,33,,175,0,8 days before,8 days before,4 hours before,2018.07.29,07-07-2018
"Shau Kei Wan, Heng Fa Chuen",https://www.28hse.com/en/buy/district-g11,Aldrich Garden,https://www.28hse.com/en/buy/estate-1175,570048,For sale,HK$ 7.38M ,,"$12,466",,,3,,592 ,,18,,1025,0,8 days before,6 days before,6 days before,2018.07.29,07-07-2018
Mid-Level,https://www.28hse.com/en/buy/district-g3,Caineway Mansion,https://www.28hse.com/en/buy/estate-482,617679,For sale,HK$ 13.60M ,,"$17,503",,,2,,777 ,,49,,1353,0,7 days before,2 minutes before,8 days before,2018.07.30,07-07-2018
Wan Chai,https://www.28hse.com/en/buy/district-g4,Cactus Mansion,https://www.28hse.com/en/buy/estate-5517,617442,For sale,HK$ 5.88M ,,"$19,279",,,,,305 ,,38,,430,1,7 days before,7 days before,2 days before,2018.07.29,07-07-2018
Wan Chai,https://www.28hse.com/en/buy/district-g4,Apartment,https://www.28hse.com/en/buy/estate-830,617928,For sale,HK$ 7.28M ,,"$13,659",,,2,,533 ,,,,445,0,7 days before,6 days before,5 days before,2018.07.30,07-07-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Yee King Court,https://www.28hse.com/en/buy/estate-6463,597149,For sale,HK$ 5.18M ,,"$17,679",,Mid level,2,,293 ,,18,,1526,0,2 days before,2 days before,1 days before,2018.08.04,07-07-2018
Wan Chai,https://www.28hse.com/en/buy/district-g4,Kwong Sang Hong Building,https://www.28hse.com/en/buy/estate-900,605065,For sale,HK$ 6.80M ,,"$16,076",,,1,,423 ,,42,,1799,0,26 days before,26 days before,19 hours before,2018.07.13,07-07-2018
Island West,https://www.28hse.com/en/buy/district-g1,The Hudson,https://www.28hse.com/en/buy/estate-8487,616944,For sale,HK$ 8.50M ,,"$26,235",,High level,1,,324 ,,2,,230,0,8 days before,8 days before,4 days before,2018.07.29,07-07-2018
,,,,506007,For sale,HK$ 6.80M ,,"$13,793",紀德樓/CREATIVE MANSION,High level,2,,493 ,,46,,4341,1,13 days before,3 days before,8 days before,2018.07.24,07-07-2018
Quarry Bay,https://www.28hse.com/en/buy/district-g8,Ka Wing Building,https://www.28hse.com/en/buy/estate-6496,562994,For sale,HK$ 6.35M ,"$16,366","$19,538",,High level,2,388 ,325 ,,36,,800,0,8 days before,8 days before,14 minutes before,2018.07.29,07-07-2018
